title,description,url,image
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/ilyan146/My-to-do-app-in-web/blob/master/web.py,1.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app2-personal_portfolio/main.py,2.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app3-pdf-templates/main.py,3.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app4-invoice-generation/main.py,4.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app6-your-weather-api/main.py,6.png
